user_id,time
19224,2020-11-02 20:00:00
23664,2020-11-16 14:00:00
15166,2020-11-14 13:00:00
12590,2020-11-08 21:00:00
15932,2020-11-03 21:00:00
16852,2020-11-19 15:00:00
23427,2020-11-21 11:00:00
13507,2020-11-11 16:00:00
11274,2020-11-18 12:00:00
20610,2020-11-27 23:00:00
21418,2020-11-17 12:00:00
19026,2020-11-29 11:00:00
23843,2020-11-19 18:00:00
16996,2020-11-12 15:00:00
17804,2020-11-16 15:00:00
13310,2020-11-30 16:00:00
12983,2020-11-30 22:00:00
24849,2020-11-18 22:00:00
13812,2020-11-04 16:00:00
22757,2020-11-18 20:00:00
10667,2020-11-04 16:00:00
19524,2020-11-30 12:00:00
10734,2020-11-27 17:00:00
17693,2020-11-21 22:00:00
16904,2020-11-02 11:00:00
18567,2020-11-02 13:00:00
23251,2020-11-13 19:00:00
19087,2020-11-02 17:00:00
14197,2020-11-20 19:00:00
23970,2020-11-14 01:00:00
18073,2020-11-24 16:00:00
19860,2020-11-09 11:00:00
18203,2020-11-07 12:00:00
11683,2020-11-16 16:00:00
18527,2020-11-24 15:00:00
23028,2020-11-02 12:00:00
21970,2020-11-27 12:00:00
19899,2020-11-23 15:00:00
14827,2020-11-04 13:00:00
11016,2020-11-26 20:00:00
12820,2020-11-06 18:00:00
12244,2020-11-09 21:00:00
24658,2020-11-26 15:00:00
23781,2020-11-27 15:00:00
23149,2020-11-04 13:00:00
21922,2020-11-21 17:00:00
17285,2020-11-24 12:00:00
18840,2020-11-21 15:00:00
16288,2020-11-16 20:00:00
16634,2020-11-09 15:00:00
21067,2020-11-09 14:00:00
23470,2020-11-21 17:00:00
15276,2020-11-03 18:00:00
17192,2020-11-26 11:00:00
12953,2020-11-07 23:00:00
19633,2020-11-10 17:00:00
13394,2020-11-09 11:00:00
18929,2020-11-23 12:00:00
19220,2020-11-19 22:00:00
14493,2020-11-10 11:00:00
24154,2020-11-24 12:00:00
17080,2020-11-17 13:00:00
12246,2020-11-09 20:00:00
22553,2020-11-16 12:00:00
23685,2020-11-13 23:00:00
21644,2020-11-07 18:00:00
17734,2020-11-21 21:00:00
14831,2020-11-26 19:00:00
13361,2020-11-16 18:00:00
20212,2020-11-24 11:00:00
21626,2020-11-26 13:00:00
22234,2020-11-12 19:00:00
19900,2020-11-02 19:00:00
14351,2020-11-13 12:00:00
22819,2020-11-11 15:00:00
10437,2020-11-17 19:00:00
17896,2020-11-13 13:00:00
22149,2020-11-14 23:00:00
24539,2020-11-11 14:00:00
24929,2020-11-18 00:00:00
16938,2020-11-21 12:00:00
24795,2020-11-17 20:00:00
17202,2020-11-30 12:00:00
19461,2020-11-05 13:00:00
13356,2020-11-16 16:00:00
20817,2020-11-09 16:00:00
21016,2020-11-16 15:00:00
14662,2020-11-20 15:00:00
24039,2020-11-22 19:00:00
15414,2020-11-24 16:00:00
11639,2020-11-15 05:00:00
15195,2020-11-21 12:00:00
17581,2020-11-26 12:00:00
11475,2020-11-22 19:00:00
20627,2020-11-25 18:00:00
24799,2020-11-06 01:00:00
10466,2020-11-11 12:00:00
19865,2020-11-23 23:00:00
15706,2020-11-11 12:00:00
24098,2020-11-19 11:00:00
10456,2020-11-12 20:00:00
12178,2020-11-05 00:00:00
23974,2020-11-04 16:00:00
15535,2020-11-14 00:00:00
22052,2020-11-18 20:00:00
15979,2020-11-21 00:00:00
17404,2020-11-09 22:00:00
13300,2020-11-02 19:00:00
21542,2020-11-13 17:00:00
19512,2020-11-12 18:00:00
14809,2020-11-30 19:00:00
17540,2020-11-10 16:00:00
13345,2020-11-16 16:00:00
24375,2020-11-17 20:00:00
19708,2020-11-28 13:00:00
19181,2020-11-26 13:00:00
15931,2020-11-05 18:00:00
23550,2020-11-11 15:00:00
18409,2020-11-27 11:00:00
20541,2020-11-30 16:00:00
18276,2020-11-28 14:00:00
23747,2020-11-13 18:00:00
12408,2020-11-02 11:00:00
18044,2020-11-19 15:00:00
12323,2020-11-18 18:00:00
19147,2020-11-02 11:00:00
15233,2020-11-10 11:00:00
11976,2020-11-19 19:00:00
20757,2020-11-26 18:00:00
23247,2020-11-30 20:00:00
21318,2020-11-07 21:00:00
15319,2020-11-26 16:00:00
15673,2020-11-02 17:00:00
22452,2020-11-30 19:00:00
19770,2020-11-24 15:00:00
13623,2020-11-13 16:00:00
14629,2020-11-14 11:00:00
11470,2020-11-12 18:00:00
10212,2020-11-04 19:00:00
19318,2020-11-24 23:00:00
14896,2020-11-09 16:00:00
22225,2020-11-14 11:00:00
17485,2020-11-30 19:00:00
21386,2020-11-09 11:00:00
17479,2020-11-06 19:00:00
23455,2020-11-18 16:00:00
18238,2020-11-04 18:00:00
16832,2020-11-09 20:00:00
17821,2020-11-12 15:00:00
11885,2020-11-25 15:00:00
20492,2020-11-11 11:00:00
17931,2020-11-02 14:00:00
11697,2020-11-05 12:00:00
15914,2020-11-12 15:00:00
18226,2020-11-21 14:00:00
22091,2020-11-26 12:00:00
19514,2020-11-24 16:00:00
21636,2020-11-02 15:00:00
24422,2020-11-02 12:00:00
19817,2020-11-25 01:00:00
14103,2020-11-09 13:00:00
15386,2020-11-18 13:00:00
18632,2020-11-11 12:00:00
18540,2020-11-04 12:00:00
17141,2020-11-11 11:00:00
20569,2020-11-27 15:00:00
19806,2020-11-11 13:00:00
16267,2020-11-09 20:00:00
12224,2020-11-18 13:00:00
23144,2020-11-16 22:00:00
22707,2020-11-21 16:00:00
21463,2020-11-21 15:00:00
12551,2020-11-17 19:00:00
14719,2020-11-23 18:00:00
20909,2020-11-26 20:00:00
17973,2020-11-02 11:00:00
16143,2020-11-27 13:00:00
14616,2020-11-09 17:00:00
20515,2020-11-23 23:00:00
21297,2020-11-19 12:00:00
22688,2020-11-23 16:00:00
10242,2020-11-25 17:00:00
15704,2020-11-04 15:00:00
16298,2020-11-26 19:00:00
18306,2020-11-17 14:00:00
22606,2020-11-14 14:00:00
18213,2020-11-14 11:00:00
16429,2020-11-20 11:00:00
12012,2020-11-16 19:00:00
22716,2020-11-20 15:00:00
23917,2020-11-02 16:00:00
13846,2020-11-30 13:00:00
24274,2020-11-19 16:00:00
16665,2020-11-01 19:00:00
